depth	LID	rel_unc
1010	48.71	0.2
1011	48.71	0.2
1012	48.7	0.2
1013	48.7	0.2
1014	48.69	0.2
1015	48.68	0.2
1016	48.68	0.2
1017	48.67	0.2
1018	48.67	0.2
1019	48.66	0.2
1020	48.66	0.2
1021	48.65	0.2
1022	48.65	0.2
1023	48.65	0.2
1024	48.64	0.2
1025	48.64	0.2
1026	48.64	0.2
1027	48.64	0.2
1028	48.64	0.2
1029	48.64	0.2
1030	48.64	0.2
1031	48.65	0.2
1032	48.65	0.2
1033	48.65	0.2
1034	48.65	0.2
1035	48.65	0.2
1036	48.66	0.2
1037	48.66	0.2
1038	48.66	0.2
1039	48.66	0.2
1040	48.66	0.2
1041	48.66	0.2
1042	48.66	0.2
1043	48.65	0.2
1044	48.65	0.2
1045	48.65	0.2
1046	48.64	0.2
1047	48.63	0.2
1048	48.63	0.2
1049	48.62	0.2
1050	48.61	0.2
1051	48.61	0.2
1052	48.6	0.2
1053	48.59	0.2
1054	48.59	0.2
1055	48.58	0.2
1056	48.57	0.2
1057	48.57	0.2
1058	48.56	0.2
1059	48.56	0.2
1060	48.56	0.2
1061	48.56	0.2
1062	48.56	0.2
1063	48.56	0.2
1064	48.56	0.2
1065	48.56	0.2
1066	48.56	0.2
1067	48.57	0.2
1068	48.57	0.2
1069	48.57	0.2
1070	48.58	0.2
1071	48.58	0.2
1072	48.59	0.2
1073	48.59	0.2
1074	48.6	0.2
1075	48.6	0.2
1076	48.61	0.2
1077	48.62	0.2
1078	48.62	0.2
1079	48.63	0.2
1080	48.63	0.2
1081	48.64	0.2
1082	48.64	0.2
1083	48.65	0.2
1084	48.65	0.2
1085	48.66	0.2
1086	48.67	0.2
1087	48.67	0.2
1088	48.68	0.2
1089	48.69	0.2
1090	48.7	0.2
1091	48.7	0.2
1092	48.71	0.2
1093	48.72	0.2
1094	48.73	0.2
1095	48.74	0.2
1096	48.75	0.2
1097	48.75	0.2
1098	48.76	0.2
1099	48.77	0.2
1100	48.78	0.2
1101	48.78	0.2
1102	48.79	0.2
1103	48.8	0.2
1104	48.8	0.2
1105	48.81	0.2
1106	48.81	0.2
1107	48.82	0.2
1108	48.82	0.2
1109	48.83	0.2
1110	48.83	0.2
1111	48.83	0.2
1112	48.83	0.2
1113	48.84	0.2
1114	48.84	0.2
1115	48.84	0.2
1116	48.84	0.2
1117	48.84	0.2
1118	48.84	0.2
1119	48.84	0.2
1120	48.84	0.2
1121	48.84	0.2
1122	48.83	0.2
1123	48.83	0.2
1124	48.83	0.2
1125	48.82	0.2
1126	48.82	0.2
1127	48.81	0.2
1128	48.81	0.2
1129	48.8	0.2
1130	48.79	0.2
1131	48.79	0.2
1132	48.78	0.2
1133	48.77	0.2
1134	48.76	0.2
1135	48.75	0.2
1136	48.75	0.2
1137	48.74	0.2
1138	48.73	0.2
1139	48.72	0.2
1140	48.71	0.2
1141	48.71	0.2
1142	48.7	0.2
1143	48.69	0.2
1144	48.68	0.2
1145	48.68	0.2
1146	48.67	0.2
1147	48.67	0.2
1148	48.66	0.2
1149	48.66	0.2
1150	48.65	0.2
1151	48.65	0.2
1152	48.65	0.2
1153	48.64	0.2
1154	48.64	0.2
1155	48.64	0.2
1156	48.64	0.2
1157	48.63	0.2
1158	48.63	0.2
1159	48.63	0.2
1160	48.62	0.2
1161	48.62	0.2
1162	48.62	0.2
1163	48.62	0.2
1164	48.61	0.2
1165	48.61	0.2
1166	48.61	0.2
1167	48.6	0.2
1168	48.6	0.2
1169	48.6	0.2
1170	48.6	0.2
1171	48.6	0.2
1172	48.6	0.2
1173	48.6	0.2
1174	48.6	0.2
1175	48.6	0.2
1176	48.6	0.2
1177	48.6	0.2
1178	48.6	0.2
1179	48.61	0.2
1180	48.61	0.2
1181	48.62	0.2
1182	48.62	0.2
1183	48.63	0.2
1184	48.63	0.2
1185	48.64	0.2
1186	48.65	0.2
1187	48.65	0.2
1188	48.66	0.2
1189	48.67	0.2
1190	48.68	0.2
1191	48.69	0.2
1192	48.7	0.2
1193	48.71	0.2
1194	48.72	0.2
1195	48.73	0.2
1196	48.74	0.2
1197	48.75	0.2
1198	48.76	0.2
1199	48.77	0.2
1200	48.78	0.2
1201	48.79	0.2
1202	48.8	0.2
1203	48.81	0.2
1204	48.82	0.2
1205	48.83	0.2
1206	48.84	0.2
1207	48.85	0.2
1208	48.87	0.2
1209	48.88	0.2
1210	48.9	0.2
1211	48.91	0.2
1212	48.93	0.2
1213	48.95	0.2
1214	48.97	0.2
1215	49.0	0.2
1216	49.03	0.2
1217	49.05	0.2
1218	49.08	0.2
1219	49.12	0.2
1220	49.15	0.2
1221	49.18	0.2
1222	49.22	0.2
1223	49.25	0.2
1224	49.29	0.2
1225	49.32	0.2
1226	49.35	0.2
1227	49.38	0.2
1228	49.4	0.2
1229	49.43	0.2
1230	49.45	0.2
1231	49.46	0.2
1232	49.48	0.2
1233	49.48	0.2
1234	49.49	0.2
1235	49.49	0.2
1236	49.49	0.2
1237	49.48	0.2
1238	49.48	0.2
1239	49.47	0.2
1240	49.45	0.2
1241	49.44	0.2
1242	49.43	0.2
1243	49.41	0.2
1244	49.39	0.2
1245	49.38	0.2
1246	49.36	0.2
1247	49.34	0.2
