#Depth	#Thinning	#error
966.9	0.7003	0.05
968.55	0.6997	0.05
970.2	0.6989	0.05
971.85	0.6983	0.05
973.5	0.6978	0.05
975.15	0.697	0.05
976.8	0.6963	0.05
978.45	0.6957	0.05
980.1	0.6948	0.05
981.75	0.6941	0.05
983.4	0.6935	0.05
985.05	0.6926	0.05
986.7	0.6916	0.05
988.35	0.6905	0.05
990	0.6894	0.05
991.65	0.6884	0.05
993.3	0.6874	0.05
994.95	0.6863	0.05
996.6	0.6852	0.05
998.25	0.6842	0.05
999.9	0.6831	0.05
1001.55	0.6822	0.05
1003.2	0.681	0.05
1004.85	0.6798	0.05
1006.5	0.6788	0.05
1008.15	0.6779	0.05
1009.8	0.677	0.05
1011.45	0.6762	0.05
1013.1	0.6751	0.05
1014.75	0.6741	0.05
1016.4	0.6733	0.05
1018.05	0.6725	0.05
1019.7	0.6721	0.05
1021.35	0.6714	0.05
1023	0.6706	0.05
1024.65	0.6698	0.05
1026.3	0.6693	0.05
1027.95	0.6685	0.05
1029.6	0.6676	0.05
1031.25	0.6668	0.05
1032.9	0.6661	0.05
1034.55	0.6653	0.05
1036.2	0.6646	0.05
1037.85	0.6633	0.05
1039.5	0.6624	0.05
1041.15	0.6615	0.05
1042.8	0.6605	0.05
1044.45	0.6596	0.05
1046.1	0.6586	0.05
1047.75	0.6577	0.05
1049.4	0.6569	0.05
1051.05	0.6561	0.05
1052.7	0.6553	0.05
1054.35	0.6545	0.05
1056	0.6538	0.05
1057.65	0.6531	0.05
1059.3	0.6524	0.05
1060.95	0.6516	0.05
1062.6	0.651	0.05
1064.25	0.6503	0.05
1065.9	0.6497	0.05
1067.55	0.6489	0.05
1069.2	0.6483	0.05
1070.85	0.6477	0.05
1072.5	0.6469	0.05
1074.15	0.6463	0.05
1075.8	0.6456	0.05
1077.45	0.6448	0.05
1079.1	0.6443	0.05
1080.75	0.6438	0.05
1082.4	0.6433	0.05
1084.05	0.6426	0.05
1085.7	0.6418	0.05
1087.35	0.6409	0.05
1089	0.6403	0.05
1090.65	0.6398	0.05
1092.3	0.6395	0.05
1093.95	0.639	0.05
1095.6	0.6384	0.05
1097.25	0.6378	0.05
1098.9	0.6374	0.05
1100.55	0.6368	0.05
1102.2	0.6364	0.05
1103.85	0.6359	0.05
1105.5	0.6355	0.05
1107.15	0.6349	0.05
1108.8	0.6344	0.05
1110.45	0.6336	0.05
1112.1	0.6326	0.05
1113.75	0.6321	0.05
1115.4	0.6313	0.05
1117.05	0.631	0.05
1118.7	0.6302	0.05
1120.35	0.6297	0.05
1122	0.6288	0.05
1123.65	0.6278	0.05
1125.3	0.6269	0.05
1126.95	0.6265	0.05
1128.6	0.6264	0.05
1130.25	0.626	0.05
1131.9	0.6255	0.05
1133.55	0.625	0.05
1135.2	0.6239	0.05
1136.85	0.6236	0.05
1138.5	0.6235	0.05
1140.15	0.623	0.05
1141.8	0.6222	0.05
1143.45	0.6222	0.05
1145.1	0.6218	0.05
1146.75	0.6213	0.05
1148.4	0.6208	0.05
1150.05	0.62	0.05
1151.7	0.6193	0.05
1153.35	0.619	0.05
1155	0.6186	0.05
1156.65	0.6177	0.05
1158.3	0.617	0.05
1159.95	0.6162	0.05
1161.6	0.6156	0.05
1163.25	0.615	0.05
1164.9	0.6142	0.05
1166.55	0.6133	0.05
1168.2	0.6125	0.05
1169.85	0.6117	0.05
1171.5	0.6112	0.05
1173.15	0.6104	0.05
1174.8	0.61	0.05
1176.45	0.6094	0.05
1178.1	0.6087	0.05
1179.75	0.6081	0.05
1181.4	0.6077	0.05
1183.05	0.6071	0.05
1184.7	0.6067	0.05
1186.35	0.606	0.05
1188	0.6057	0.05
1189.65	0.6054	0.05
1191.3	0.6052	0.05
1192.95	0.6049	0.05
1194.6	0.6044	0.05
1196.25	0.6034	0.05
1197.9	0.6029	0.05
1199.55	0.6026	0.05
1201.2	0.6019	0.05
1202.85	0.6012	0.05
1204.5	0.6004	0.05
1206.15	0.5998	0.05
1207.8	0.599	0.05
1209.45	0.5982	0.05
1211.1	0.5978	0.05
1212.75	0.5973	0.05
1214.4	0.5969	0.05
1216.05	0.5964	0.05
1217.7	0.5959	0.05
1219.35	0.5952	0.05
1221	0.5945	0.05
1222.65	0.594	0.05
1224.3	0.5934	0.05
1225.95	0.5928	0.05
1227.6	0.5922	0.05
1229.25	0.592	0.05
1230.9	0.5918	0.05
1232.55	0.5911	0.05
1234.2	0.5904	0.05
1235.85	0.5897	0.05
1237.5	0.5893	0.05
1239.15	0.5889	0.05
1240.8	0.5887	0.05
1242.45	0.5876	0.05
1244.1	0.5868	0.05
1245.75	0.5867	0.05
1247.4	0.5859	0.05
1249.05	0.5846	0.05
1250.7	0.584	0.05
1252.35	0.5832	0.05
1254	0.5824	0.05
1255.65	0.5813	0.05
1257.3	0.5805	0.05
1258.95	0.5798	0.05
1260.6	0.5787	0.05
1262.25	0.5779	0.05
1263.9	0.5773	0.05
1265.55	0.5767	0.05
1267.2	0.5758	0.05
1268.85	0.5751	0.05
1270.5	0.5742	0.05
1272.15	0.5732	0.05
1273.8	0.5726	0.05
1275.45	0.5719	0.05
1277.1	0.5716	0.05
1278.75	0.5711	0.05
1280.4	0.5702	0.05
1282.05	0.5685	0.05
1283.7	0.5669	0.05
1285.35	0.5653	0.05
1287	0.5649	0.05
1288.65	0.5641	0.05
1290.3	0.5632	0.05
1291.95	0.562	0.05
1293.6	0.5612	0.05
1295.25	0.5599	0.05
1296.9	0.5587	0.05
1298.55	0.5578	0.05
1300.2	0.5567	0.05
1301.85	0.5556	0.05
1303.5	0.5545	0.05
1305.15	0.5532	0.05
1306.8	0.552	0.05
1308.45	0.5509	0.05
1310.1	0.5497	0.05
1311.75	0.5486	0.05
1313.4	0.5474	0.05
1315.05	0.5463	0.05
1316.7	0.5451	0.05
1318.35	0.5441	0.05
1320	0.5433	0.05
1321.65	0.5427	0.05
1323.3	0.5422	0.05
1324.95	0.5416	0.05
1326.6	0.541	0.05
1328.25	0.5405	0.05
1329.9	0.5401	0.05
1331.55	0.5396	0.05
1333.2	0.5394	0.05
1334.85	0.5388	0.05
1336.5	0.5384	0.05
1338.15	0.5381	0.05
1339.8	0.5378	0.05
1341.45	0.5375	0.05
1343.1	0.5372	0.05
1344.75	0.5369	0.05
1346.4	0.5367	0.05
1348.05	0.5366	0.05
1349.7	0.5365	0.05
1351.35	0.5366	0.05
1353	0.5367	0.05
1354.65	0.5366	0.05
1356.3	0.5368	0.05
1357.95	0.5372	0.05
1359.6	0.5381	0.05
1361.25	0.5387	0.05
1362.9	0.5388	0.05
1364.55	0.5402	0.05
1366.2	0.5398	0.05
1367.85	0.5413	0.05
1369.5	0.5414	0.05
1371.15	0.5414	0.05
1372.8	0.5417	0.05
1374.45	0.542	0.05
1376.1	0.542	0.05
1377.75	0.5419	0.05
1379.4	0.5423	0.05
1381.05	0.5426	0.05
1382.7	0.5425	0.05
1384.35	0.5424	0.05
1386	0.5419	0.05
1387.65	0.5413	0.05
1389.3	0.5407	0.05
1390.95	0.5409	0.05
1392.6	0.5403	0.05
1394.25	0.5392	0.05
1395.9	0.5392	0.05
1397.55	0.5382	0.05
1399.2	0.5374	0.05
1400.85	0.5366	0.05
1402.5	0.5354	0.05
1404.15	0.5343	0.05
1405.8	0.533	0.05
1407.45	0.5325	0.05
1409.1	0.5319	0.05
1410.75	0.5304	0.05
1412.4	0.5292	0.05
1414.05	0.5283	0.05
1415.7	0.5273	0.05
1417.35	0.5265	0.05
1419	0.5258	0.05
1420.65	0.5251	0.05
1422.3	0.524	0.05
1423.95	0.5229	0.05
1425.6	0.5216	0.05
1427.25	0.5194	0.05
1428.9	0.5178	0.05
1430.55	0.5164	0.05
1432.2	0.5142	0.05
1433.85	0.5121	0.05
1435.5	0.5104	0.05
1437.15	0.5087	0.05
1438.8	0.5067	0.05
1440.45	0.5048	0.05
1442.1	0.503	0.05
1443.75	0.5011	0.05
1445.4	0.4992	0.05
1447.05	0.4972	0.05
1448.7	0.4952	0.05
1450.35	0.4932	0.05
1452	0.4912	0.05
1453.65	0.4893	0.05
1455.3	0.4874	0.05
1456.95	0.4855	0.05
1458.6	0.4834	0.05
1460.25	0.4814	0.05
1461.9	0.4797	0.05
1463.55	0.478	0.05
1465.2	0.4763	0.05
1466.85	0.4746	0.05
1468.5	0.473	0.05
1470.15	0.4714	0.05
1471.8	0.47	0.05
1473.45	0.4685	0.05
1475.1	0.467	0.05
1476.75	0.4659	0.05
1478.4	0.4646	0.05
1480.05	0.4634	0.05
1481.7	0.4621	0.05
1483.35	0.461	0.05
1485	0.4593	0.05
1486.65	0.4577	0.05
1488.3	0.4558	0.05
1489.95	0.4542	0.05
1491.6	0.4526	0.05
1493.25	0.451	0.05
1494.9	0.4494	0.05
1496.55	0.448	0.05
1498.2	0.4468	0.05
1499.85	0.4458	0.05
1501.5	0.4447	0.05
1503.15	0.4436	0.05
1504.8	0.4427	0.05
1506.45	0.4418	0.05
1508.1	0.441	0.05
1509.75	0.4404	0.05
1511.4	0.4402	0.05
1513.05	0.4408	0.05
1514.7	0.4408	0.05
1516.35	0.4402	0.05
1518	0.4395	0.05
1519.65	0.4388	0.05
1521.3	0.4381	0.05
1522.95	0.4375	0.05
1524.6	0.4368	0.05
1526.25	0.4362	0.05
1527.9	0.4355	0.05
1529.55	0.4349	0.05
1531.2	0.4341	0.05
1532.85	0.4334	0.05
1534.5	0.4327	0.05
1536.15	0.4319	0.05
1537.8	0.4311	0.05
1539.45	0.4302	0.05
1541.1	0.4294	0.05
1542.75	0.4286	0.05
1544.4	0.4279	0.05
1546.05	0.4271	0.05
1547.7	0.4261	0.05
1549.35	0.4251	0.05
1551	0.4242	0.05
1552.65	0.4232	0.05
1554.3	0.4224	0.05
1555.95	0.4215	0.05
1557.6	0.4207	0.05
1559.25	0.4199	0.05
1560.9	0.4189	0.05
1562.55	0.418	0.05
1564.2	0.4172	0.05
1565.85	0.4163	0.05
1567.5	0.4152	0.05
1569.15	0.4141	0.05
1570.8	0.413	0.05
1572.45	0.4118	0.05
1574.1	0.4111	0.05
1575.75	0.4104	0.05
1577.4	0.4095	0.05
1579.05	0.4083	0.05
1580.7	0.4069	0.05
1582.35	0.4058	0.05
1584	0.4047	0.05
1585.65	0.4038	0.05
1587.3	0.403	0.05
1588.95	0.4024	0.05
1590.6	0.4027	0.05
1592.25	0.4026	0.05
1593.9	0.4024	0.05
1595.55	0.402	0.05
1597.2	0.4022	0.05
1598.85	0.4015	0.05
1600.5	0.4015	0.05
1602.15	0.4017	0.05
1603.8	0.4007	0.05
1605.45	0.4003	0.05
1607.1	0.4004	0.05
1608.75	0.4005	0.05
1610.4	0.4007	0.05
1612.05	0.4008	0.05
