depth,dep
159.69,22.34
159.71,20.89
159.73,20.63
159.75,19.6
159.77,19.2
159.79,19.17
159.81,20.26
159.83,21.29
159.85,22.81
159.87,22.0
159.89,20.89
159.91,19.84
159.93,20.22
159.95,20.37
159.97,20.1
159.99,21.01
160.01,22.31
160.03,22.63
160.05,23.05
160.07,23.11
160.09,21.6
160.11,20.53
160.13,19.04
160.15,19.22
160.17,19.54
160.19,20.16
160.21,20.47
160.23,21.31
160.25,22.4
160.27,23.46
160.29,22.73
160.31,22.37
160.33,21.64
160.35,20.49
160.37,20.89
160.39,20.14
160.41,21.16
160.43,22.36
160.45,23.04
160.47,24.55
160.49,26.71
160.51,24.3
160.53,23.22
160.55,21.28
160.57,21.27
160.59,20.12
160.61,18.85
160.63,17.38
160.65,17.42
160.67,18.75
160.69,20.01
160.71,19.55
160.73,19.02
160.78,18.06
160.8,19.04
160.82,20.5
160.84,19.93
160.86,20.83
160.88,23.77
160.9,23.25
160.92,22.94
160.94,25.86
160.96,24.35
160.98,24.11
161.0,21.15
161.02,17.6
161.04,16.84
161.06,17.03
161.08,17.05
161.1,17.79
161.12,19.17
161.14,19.42
161.16,18.98
161.18,17.92
161.2,18.81
161.22,17.78
161.24,18.94
161.26,20.61
161.28,19.21
161.3,18.92
161.32,19.6
161.34,20.5
161.36,20.71
161.38,19.8
161.4,18.92
161.42,18.2
161.44,18.96
161.46,20.09
161.48,20.57
161.5,21.2
161.52,21.21
161.54,24.37
161.56,23.78
161.58,21.21
161.6,19.79
161.62,19.23
161.64,20.75
161.66,19.81
161.68,19.81
161.7,20.33
161.72,22.83
161.74,21.94
161.76,23.66
161.78,22.13
161.8,22.31
161.82,20.64
161.84,20.17
161.86,18.42
161.88,17.72
161.9,14.21
161.92,13.68
161.94,15.97
161.96,19.47
161.98,20.99
162.0,21.31
162.02,20.19
162.04,19.61
162.06,18.56
162.08,18.08
162.1,18.41
162.12,19.3
162.14,21.33
162.16,22.19
162.18,21.83
162.2,21.1
162.22,19.89
162.24,18.87
162.26,18.63
162.28,18.35
162.3,18.01
162.32,20.51
162.34,20.39
162.36,20.94
162.38,18.87
162.4,20.3
162.42,19.36
162.44,18.11
162.46,17.29
162.48,8.52
162.5,19.39
162.52,19.03
162.54,17.27
162.56,14.82
162.58,10.19
162.6,15.66
162.62,20.31
162.64,21.35
162.66,19.98
162.68,19.07
162.7,19.74
162.72,19.29
162.74,20.85
162.76,22.37
162.78,22.34
162.8,20.06
162.82,17.72
162.84,16.77
162.86,18.55
162.88,18.56
162.9,19.8
162.92,21.3
162.94,22.49
162.96,21.59
162.98,21.42
163.0,21.73
163.02,19.7
163.04,19.18
163.06,18.06
163.08,17.82
163.1,18.11
163.12,18.37
163.14,17.61
163.16,17.56
163.18,18.62
163.2,19.17
163.22,19.5
163.24,19.56
163.26,18.88
163.28,17.55
163.3,16.97
163.32,15.5
163.34,17.56
163.36,17.97
163.38,18.48
163.4,19.33
163.42,19.83
163.44,18.88
163.46,17.51
163.48,15.87
163.5,17.33
163.52,18.11
163.54,17.58
163.56,17.73
163.58,19.34
163.6,22.55
163.62,20.63
163.64,20.87
163.66,21.88
163.68,22.14
163.7,24.39
163.72,23.1
163.74,21.98
163.76,19.29
163.78,17.95
163.8,15.87
163.82,15.79
163.84,17.58
163.86,18.37
163.88,18.93
163.9,17.4
163.92,16.29
163.94,16.14
163.96,17.28
163.98,16.4
164.0,16.74
164.02,19.84
164.04,20.42
164.06,22.05
164.08,22.58
164.1,23.87
164.12,21.71
164.14,20.49
164.16,20.23
164.18,19.26
164.2,18.89
164.22,13.88
164.235,15.07
164.255,21.84
164.275,22.66
164.295,19.09
164.315,17.96
164.335,14.3
164.355,18.05
164.375,19.3
164.395,19.56
164.415,18.02
164.435,18.4
164.455,19.03
164.475,18.64
164.495,19.02
164.515,18.61
164.535,16.84
164.555,16.37
164.575,16.47
164.595,17.26
164.615,19.98
164.635,19.17
164.655,18.47
164.675,18.81
164.695,16.91
164.715,16.5
164.735,16.61
164.755,15.79
164.775,16.1
164.795,16.7
164.815,16.83
164.835,17.84
164.855,18.09
164.875,18.93
164.895,18.17
164.915,19.36
164.935,20.11
164.955,20.05
164.975,20.12
164.995,20.6
165.015,22.4
165.035,22.78
165.055,22.04
165.075,20.96
165.095,24.26
165.115,20.86
165.135,20.27
165.155,19.32
165.175,19.2
165.195,17.69
165.215,16.89
165.235,16.48
165.255,18.0
165.275,19.33
165.295,19.43
165.315,17.76
165.335,16.17
165.355,14.76
165.375,14.26
165.395,18.42
165.415,19.37
165.435,23.48
165.455,25.62
165.475,24.41
165.495,17.77
165.515,15.77
165.535,13.62
165.555,18.98
165.575,18.52
165.595,18.93
165.615,16.54
165.635,15.81
165.655,19.24
165.675,19.8
165.695,19.45
165.715,18.46
165.735,17.87
165.755,17.35
165.775,18.03
165.795,17.94
165.815,17.88
165.835,17.46
165.855,17.11
165.875,15.66
165.895,16.87
165.915,19.64
165.935,21.29
165.955,20.38
165.975,18.95
165.995,18.31
166.015,17.36
166.035,17.25
166.055,16.73
166.075,17.7
166.095,18.32
166.115,21.52
166.135,22.69
166.155,21.46
166.175,21.2
166.195,20.8
166.22,17.26
166.24,17.55
166.26,17.65
166.28,16.58
166.3,17.91
166.32,19.73
166.34,19.31
166.36,19.42
166.38,22.56
166.4,21.6
166.42,20.5
166.44,19.56
166.46,17.28
166.48,17.08
166.5,16.67
166.52,17.33
166.54,18.1
166.56,18.81
166.58,19.54
166.6,19.8
166.62,18.37
166.64,17.72
166.66,17.52
166.68,17.38
166.7,16.57
166.72,16.56
166.74,16.82
166.76,17.11
166.78,17.71
166.8,17.84
166.82,18.24
166.84,17.29
166.86,16.95
166.88,16.31
166.9,16.2
166.92,16.54
166.94,16.17
166.96,17.17
166.98,17.44
167.0,18.66
167.02,19.06
167.04,20.28
167.06,21.31
167.08,23.95
167.1,23.12
167.12,21.3
167.14,19.94
167.16,19.48
167.18,18.61
167.2,18.46
167.22,17.45
167.24,18.89
167.26,19.12
167.28,19.12
167.3,18.04
167.32,19.04
167.34,18.92
167.36,17.85
167.38,18.04
167.4,17.87
167.42,18.82
167.44,19.01
167.46,19.77
167.48,20.45
167.5,20.28
167.52,20.07
167.54,20.44
167.56,19.55
167.58,18.48
167.6,18.07
167.62,16.75
167.64,15.28
167.66,14.72
167.68,14.31
167.7,16.52
167.72,17.65
167.74,18.26
167.76,19.0
167.78,17.63
167.8,19.36
167.82,19.73
167.84,21.1
167.86,18.86
167.88,14.18
167.9,18.19
167.92,20.06
167.94,22.43
167.96,19.53
167.98,17.91
168.0,19.44
168.02,21.7
168.04,22.39
168.06,18.62
168.08,14.17
168.1,16.16
168.12,18.73
168.14,19.28
168.16,21.28
168.18,19.53
168.2,18.6
168.22,18.55
168.24,17.68
168.26,17.67
168.28,16.93
168.3,15.92
168.32,18.12
168.34,18.93
168.36,20.81
168.38,21.65
168.4,20.47
168.42,19.95
168.44,14.09
168.46,12.92
168.48,21.11
168.5,20.94
168.52,20.89
168.54,19.42
168.56,23.04
168.58,22.58
168.6,20.54
168.62,21.76
168.64,20.19
168.66,21.65
168.68,21.98
168.7,22.45
168.72,24.41
168.74,26.07
168.76,26.1
168.78,25.89
168.8,27.16
168.82,26.9
168.84,26.7
168.86,26.48
168.88,24.44
168.9,20.59
168.92,20.9
168.94,20.68
168.96,21.18
168.98,21.37
169.0,22.95
169.02,22.7
169.04,25.13
169.06,24.17
169.08,25.49
169.1,25.12
169.12,21.56
169.14,16.95
169.16,20.25
169.18,19.89
169.2,17.3
169.22,17.46
169.24,17.88
169.26,18.84
169.28,20.31
169.3,20.4
169.32,21.71
169.34,20.34
169.36,18.25
169.38,18.06
169.4,17.73
169.42,17.31
169.44,17.47
169.46,17.87
169.48,18.35
169.5,16.62
169.52,16.49
169.54,18.14
169.56,18.46
169.58,18.85
169.6,18.88
169.62,18.22
169.64,19.34
169.66,19.71
169.68,21.65
169.7,21.81
169.72,24.97
169.74,28.19
169.76,30.84
169.78,26.49
169.8,23.3
169.82,20.79
169.84,20.01
169.86,19.22
169.88,19.91
169.9,20.28
169.92,20.36
169.94,20.58
169.96,19.85
169.98,20.01
170.0,21.15
170.02,21.76
170.04,21.48
170.06,21.06
170.08,20.53
170.1,19.93
170.12,19.45
170.14,18.8
170.16,17.86
170.18,17.93
170.2,18.07
170.22,18.18
170.24,16.78
170.26,15.28
170.28,13.81
170.32,14.84
170.34,17.9
170.36,18.57
170.38,18.06
170.4,18.23
170.42,19.43
170.44,13.44
170.46,18.15
170.48,19.07
170.5,20.14
170.52,20.18
170.54,21.68
170.56,19.33
170.58,18.66
170.6,18.74
170.62,18.21
170.64,18.9
170.66,19.06
170.68,21.65
170.7,23.27
170.72,22.28
170.74,22.32
170.76,21.1
170.78,20.65
170.8,19.2
170.82,19.14
170.84,20.0
170.86,19.8
170.88,19.81
170.9,19.9
170.92,20.28
170.94,19.97
170.96,20.11
170.98,19.98
171.0,21.22
171.02,21.93
171.04,20.73
171.06,18.6
171.08,16.0
171.1,12.6
171.12,10.5
171.14,10.08
171.16,9.81
171.18,11.77
171.2,13.75
171.22,15.54
171.24,17.18
171.26,19.11
171.28,19.96
171.3,22.35
171.32,20.06
171.34,20.9
171.36,21.72
171.38,21.77
171.4,20.62
171.42,19.81
171.44,20.49
171.46,20.51
171.48,21.88
171.5,22.34
171.52,22.6
171.54,22.96
171.56,20.5
171.58,21.22
171.6,20.52
171.62,18.44
171.64,15.13
171.66,15.41
171.68,17.46
171.7,18.23
171.72,16.93
171.74,19.06
