GISP2 Electrical Conductivity Measurements

REFERENCES: 

Taylor, K.C., R.B. Alley, G.W. Lamorey, and P.A. Mayewski. 1997. Electrical
measurements on the Greenland Ice Sheet Project 2 core. Journal of
Geophysical Research 102:26511-26517.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Chylek, P., B. Johnson, P.A. Damiano, K.C. Taylor, and P. Clement. 1995.
Biomass burning record and black carbon in the GISP2 ice core. Geophysical
Research Letters 22:89-92.

Taylor, K.C., G.W. Lamorey, G.A. Doyle, R.B. Alley, P.M. Grootes, P.A.
Mayewski, J.W.C. White, and L.K. Barlow. 1993. The 'flickering switch' of
late Pleistocene climate change. Nature 361:432-436.

Taylor, K.C., R.B. Alley, R.J. Fiacco, P.M. Grootes, G.W. Lamorey, P.A.
Mayewski, and M.J. Spencer. 1992. Ice core dating and chemistry by direct
current electrical conductivity. Journal of Glaciology 38:325-332.

DATA DESCRIPTION: 

The ECM file ECMage.dat represents 0.5 meter averages of the data in the
b****.dat and d****.dat files.  The GISP2 B core was used for the first
100 meters; the D core thereafter.  All depths are D core depths, ages are
on the Meese/Sowers timescale.  See ECMinfo.txt and depthage.dat for
further information. 

DATA: 

Depth	ECM	Age
Top (m)	microamps	Top (yr BP 1950)
		
431.05	20.851	1756.7
431.55	23.2802	1759.6
432.05	23.1896	1762.3
432.56	19.4076	1765.1
433.11	20.2512	1768.5
433.65	19.3236	1771.3
434.15	22.2124	1774.4
434.65	21.7882	1777.5
435.15	23.4436	1780.9
435.65	26.3964	1782.8
436.15	19.854	1785.4
436.67	27.2314	1787.9
437.22	21.2014	1790.5
437.75	23.4118	1792.7
438.25	25.5618	1795.2
438.75	21.3066	1797.7
439.25	20.9826	1800.1
439.75	22.4272	1803.3
440.25	24.6034	1805.7
440.78	21.8192	1808.4
441.33	18.401	1810.7
441.85	16.6974	1813.2
442.35	15.4734	1815.5
442.89	18.8918	1818.2
443.44	16.7186	1820.8
443.95	15.9538	1822.7
444.45	21.964	1825.1
445	15.4954	1827.9
445.55	16.3146	1830.7
446.05	15.7784	1833.1
446.55	16.7596	1836.1
447.05	23.5628	1838.5
447.55	27.3126	1840.7
448.05	21.3114	1843.4
448.56	23.5958	1846.1
449.11	18.2354	1848.9
449.66	15.5662	1851.5
450.21	18.991	1854.2
450.75	19.0616	1856.6
451.25	22.7682	1859.3
451.75	24.7322	1862.7
452.25	24.1138	1865.1
452.75	24.045	1867.7
453.25	30.489	1869.5
453.8	32.171	1872.2
454.35	27.6482	1874.9
454.85	31.2614	1877.5
455.35	28.6348	1879.9
455.85	28.5554	1882.2
456.35	25.2922	1884.5
456.85	19.0638	1886.6
457.36	24.8408	1888.4
457.91	21.6054	1890.7
458.45	25.2764	1893.6
458.95	22.0686	1896.1
459.45	23.2702	1898.8
460.29	23.2246	1902.8
461.64	19.846	1908.7
462.65	20.3622	1912.9
463.15	19.5234	1914.9
463.65	21.6964	1917.8
464.18	24.4024	1920.7
464.73	20.507	1923.5
465.25	22.5922	1925.8
465.75	23.1832	1928.2
466.25	19.4994	1930.4
466.75	17.1374	1933.0
467.25	24.4856	1935.4
467.75	20.2478	1937.6
468.25	20.0186	1940.3
468.91	26.5434	1943.7
469.61	26.3948	1947.2
470.15	20.2828	1949.3
470.65	22.7982	1951.8
471.15	21.8126	1954.2
471.65	19.7228	1956.6
472.2	22.624	1959.2
472.78	24.4102	1961.8
473.43	22.2054	1964.9
474.05	16.9826	1968.4
474.55	23.4106	1970.7
475.05	24.5526	1972.8
476.36	20.3652	1979.6
478.21	14.6726	1988.8
479.25	17.9386	1993.2
