# DOI: 10.5194/cp-7-1-2011
# Depth	Age	CH4	CH4_err
1516.985	205881	466.0	10.0
1518.985	208225	556.0	10.0
1519.925	209444	548.3	10.0
1521.975	212158	485.8	14.7
1523.985	214721	556.0	10.0
1526.405	218280	407.0	10.0
1528.975	222449	445.7	13.3
1530.405	224471	441.0	10.0
1532.985	227917	478.0	10.0
1534.385	229557	546.0	10.0
1536.975	232517	471.1	10.0
1540.985	237688	608.0	11.1
1542.985	240034	547.0	10.0
1544.975	242285	612.5	10.0
1548.985	249394	433.0	10.0
1550.975	257352	489.8	10.0
1551.975	261720	484.1	10.1
1554.985	274678	439.0	10.0
1558.875	285492	562.1	10.0
1562.985	291085	477.0	10.0
1566.975	294818	571.0	10.0
1569.985	296790	457.0	10.0
1573.575	299392	437.4	10.0
1579.985	304628	592.0	10.0
1583.975	308028	574.7	10.0
1587.985	308807	578.0	10.0
1591.875	309564	579.2	10.0
1595.985	310363	585.0	10.0
1601.975	311528	571.9	10.8
1603.985	311919	606.0	10.0
1607.975	312695	576.2	10.0
1611.985	313475	597.0	10.0
1615.975	314250	444.9	10.8
1617.985	314641	470.0	10.0
