,depth,deporate,rel_unc,comment
550,1206.207,0.2467,0.2,
551,1208.008,0.2463,0.2,
552,1209.715,0.2513,0.2,
553,1211.446,0.245,0.2,
554,1213.101,0.2427,0.2,
555,1214.756,0.2485,0.2,
556,1216.511,0.2552,0.2,
557,1218.276,0.2675,0.2,
558,1220.222,0.2599,0.2,
559,1222.104,0.2561,0.2,
560,1223.673,0.2494,0.2,
561,1225.476,0.2542,0.2,
562,1227.195,0.2591,0.2,
563,1229.06,0.2548,0.2,
564,1230.763,0.2503,0.2,
565,1232.468,0.2502,0.2,
566,1234.081,0.2526,0.2,
567,1236.0,0.2575,0.2,
568,1237.693,0.2623,0.2,
569,1239.551,0.2517,0.2,
570,1241.286,0.2483,0.2,
571,1242.815,0.2417,0.2,
572,1244.5,0.2348,0.2,
573,1246.165,0.2428,0.2,
574,1247.661,0.2474,0.2,
575,1249.493,0.2496,0.2,
576,1251.248,0.2562,0.2,
577,1252.882,0.2503,0.2,
578,1254.558,0.2423,0.2,
579,1256.261,0.2513,0.2,
580,1257.86,0.248,0.2,
581,1259.671,0.2489,0.2,
582,1261.293,0.236,0.2,
583,1262.829,0.2307,0.2,
584,1264.369,0.2326,0.2,
585,1266.007,0.2379,0.2,
586,1267.637,0.2409,0.2,
587,1269.239,0.2411,0.2,
588,1270.829,0.2409,0.2,
589,1272.516,0.246,0.2,
590,1274.167,0.2481,0.2,
591,1275.845,0.2407,0.2,
592,1277.406,0.2413,0.2,
593,1278.955,0.2325,0.2,
594,1280.559,0.2325,0.2,
595,1282.039,0.2356,0.2,
596,1283.609,0.2343,0.2,
597,1285.229,0.2364,0.2,
598,1286.77,0.2333,0.2,
599,1288.323,0.2294,0.2,
600,1289.783,0.2323,0.2,
601,1291.383,0.2296,0.2,
602,1292.92,0.239,0.2,
603,1294.385,0.2389,0.2,
604,1296.055,0.2392,0.2,
605,1297.674,0.2434,0.2,
606,1299.276,0.2338,0.2,
607,1300.845,0.2348,0.2,
608,1302.27,0.2351,0.2,
609,1303.901,0.2362,0.2,
610,1305.542,0.2373,0.2,
611,1307.008,0.2395,0.2,
612,1308.638,0.2435,0.2,
613,1310.235,0.2432,0.2,
614,1311.888,0.2417,0.2,
615,1313.386,0.2405,0.2,
616,1314.951,0.2272,0.2,
617,1316.526,0.2245,0.2,
618,1317.927,0.2192,0.2,
619,1319.327,0.2223,0.2,
620,1320.815,0.2313,0.2,
621,1322.38,0.2346,0.2,
622,1323.945,0.2393,0.2,
623,1325.509,0.2396,0.2,
624,1327.063,0.24,0.2,
625,1328.561,0.239,0.2,
626,1330.17,0.2404,0.2,
627,1331.734,0.2462,0.2,
628,1333.31,0.2474,0.2,
629,1334.962,0.2435,0.2,
630,1336.505,0.2466,0.2,
631,1338.091,0.2427,0.2,
632,1339.743,0.2417,0.2,
633,1341.275,0.238,0.2,
634,1342.719,0.2339,0.2,
635,1344.207,0.2306,0.2,
636,1345.859,0.2394,0.2,
637,1347.27,0.2342,0.2,
638,1348.78,0.2334,0.2,
639,1350.323,0.2329,0.2,
640,1351.789,0.2402,0.2,
641,1353.365,0.2358,0.2,
642,1354.863,0.2355,0.2,
643,1356.417,0.2342,0.2,
644,1357.85,0.2405,0.2,
645,1359.36,0.2468,0.2,
646,1361.045,0.248,0.2,
647,1362.643,0.2516,0.2,
648,1364.229,0.2355,0.2,
649,1365.706,0.2352,0.2,
650,1367.183,0.2366,0.2,
651,1368.769,0.2456,0.2,
652,1370.246,0.2444,0.2,
653,1371.953,0.2497,0.2,
654,1373.43,0.2462,0.2,
655,1375.038,0.2408,0.2,
656,1376.494,0.2457,0.2,
657,1378.047,0.2417,0.2,
658,1379.71,0.2498,0.2,
659,1381.242,0.2498,0.2,
660,1382.807,0.25,0.2,
661,1384.327,0.2448,0.2,
662,1385.925,0.2497,0.2,
663,1387.467,0.2429,0.2,
664,1389.119,0.2484,0.2,
665,1390.531,0.2464,0.2,
666,1392.117,0.2468,0.2,
667,1393.748,0.2433,0.2,
668,1395.29,0.2477,0.2,
669,1396.701,0.2358,0.2,
670,1398.299,0.236,0.2,
671,1399.765,0.2447,0.2,
672,1401.308,0.2456,0.2,
673,1402.873,0.2475,0.2,
674,1404.415,0.2433,0.2,
675,1405.87,0.2415,0.2,
676,1407.358,0.2364,0.2,
677,1408.802,0.2381,0.2,
678,1410.306,0.2404,0.2,
679,1411.811,0.2428,0.2,
680,1413.31,0.2405,0.2,
681,1414.83,0.2422,0.2,
682,1416.362,0.2399,0.2,
683,1417.818,0.2439,0.2,
684,1419.338,0.237,0.2,
685,1420.782,0.2415,0.2,
686,1422.281,0.2333,0.2,
687,1423.846,0.2396,0.2,
688,1425.104,0.2398,0.2,
689,1426.691,0.2398,0.2,
690,1428.157,0.2427,0.2,
691,1429.666,0.2384,0.2,
692,1431.067,0.2343,0.2,
693,1432.588,0.2309,0.2,
694,1433.944,0.2296,0.2,
695,1435.301,0.2272,0.2,
696,1436.712,0.2356,0.2,
697,1438.233,0.2421,0.2,
698,1439.699,0.2436,0.2,
699,1441.165,0.241,0.2,
700,1442.61,0.2407,0.2,
701,1444.087,0.2411,0.2,
702,1445.596,0.2432,0.2,
703,1446.997,0.2444,0.2,
704,1448.572,0.2464,0.2,
705,1450.06,0.2445,0.2,
706,1451.526,0.2435,0.2,
707,1453.014,0.239,0.2,
708,1454.502,0.2403,0.2,
709,1455.968,0.2384,0.2,
710,1457.336,0.235,0.2,
711,1458.747,0.2313,0.2,
712,1460.235,0.2266,0.2,
713,1461.614,0.2288,0.2,
714,1462.894,0.2223,0.2,
715,1464.283,0.224,0.2,
716,1465.531,0.2276,0.2,
717,1467.041,0.228,0.2,
718,1468.364,0.2318,0.2,
719,1469.732,0.2253,0.2,
720,1471.165,0.2208,0.2,
721,1472.424,0.216,0.2,
722,1473.627,0.2167,0.2,
723,1474.929,0.2205,0.2,
724,1476.319,0.2293,0.2,
725,1477.752,0.2282,0.2,
726,1479.098,0.2248,0.2,
727,1480.443,0.2181,0.2,
728,1481.625,0.2055,0.2,
729,1482.905,0.213,0.2,
730,1484.163,0.2194,0.2,
731,1485.476,0.2244,0.2,
732,1486.898,0.2214,0.2,
733,1488.222,0.2178,0.2,
734,1489.47,0.2159,0.2,
735,1490.695,0.2132,0.2,
736,1491.997,0.2214,0.2,
737,1493.397,0.2199,0.2,
738,1494.677,0.2222,0.2,
739,1495.848,0.2171,0.2,
740,1497.227,0.2185,0.2,
741,1498.572,0.2185,0.2,
742,1499.743,0.2147,0.2,
743,1501.045,0.2103,0.2,
744,1502.292,0.2152,0.2,
745,1503.496,0.2096,0.2,
746,1504.787,0.2094,0.2,
747,1506.001,0.2096,0.2,
748,1507.172,0.2114,0.2,
749,1508.43,0.2121,0.2,
750,1509.688,0.2217,0.2,
751,1510.968,0.2199,0.2,
752,1512.325,0.2228,0.2,
753,1513.561,0.2226,0.2,
754,1514.885,0.2137,0.2,
755,1516.122,0.2144,0.2,
756,1517.358,0.2205,0.2,
757,1518.682,0.2247,0.2,
758,1520.017,0.2286,0.2,
759,1521.319,0.2266,0.2,
760,1522.664,0.2201,0.2,
761,1523.966,0.2179,0.2,
762,1525.17,0.2237,0.2,
763,1526.406,0.2255,0.2,
764,1527.828,0.2281,0.2,
765,1529.24,0.2299,0.2,
766,1530.443,0.2195,0.2,
767,1531.734,0.214,0.2,
768,1532.927,0.2166,0.2,
769,1534.152,0.2168,0.2,
770,1535.378,0.2245,0.2,
771,1536.734,0.2247,0.2,
772,1538.058,0.2214,0.2,
773,1539.294,0.2153,0.2,
774,1540.476,0.2125,0.2,
775,1541.68,0.2154,0.2,
776,1542.971,0.2147,0.2,
777,1544.273,0.223,0.2,
778,1545.509,0.2221,0.2,
779,1546.855,0.2212,0.2,
780,1548.091,0.2194,0.2,
781,1549.305,0.2106,0.2,
782,1550.553,0.2135,0.2,
783,1551.713,0.2235,0.2,
784,1552.981,0.2251,0.2,
785,1554.349,0.2282,0.2,
786,1555.64,0.2207,0.2,
787,1556.855,0.2155,0.2,
788,1558.091,0.2085,0.2,
789,1559.327,0.2097,0.2,
790,1560.411,0.2105,0.2,
791,1561.68,0.2147,0.2,
792,1562.916,0.2232,0.2,
793,1564.163,0.2184,0.2,
794,1565.454,0.2197,0.2,
795,1566.636,0.2204,0.2,
796,1567.949,0.2203,0.2,
797,1569.163,0.2218,0.2,
798,1570.41,0.2192,0.2,
799,1571.68,0.223,0.2,
800,1572.905,0.2246,0.2,
801,1574.174,0.2214,0.2,
802,1575.41,0.2194,0.2,
803,1576.614,0.2173,0.2,
804,1577.839,0.2128,0.2,
805,1578.999,0.2221,0.2,
806,1580.246,0.215,0.2,
807,1581.581,0.2263,0.2,
808,1582.763,0.2206,0.2,
809,1584.076,0.225,0.2,
810,1585.192,0.223,0.2,
811,1586.614,0.22,0.2,
812,1587.785,0.2157,0.2,
813,1588.933,0.2114,0.2,
814,1590.093,0.2197,0.2,
815,1591.297,0.2262,0.2,
816,1592.653,0.2285,0.2,
817,1593.923,0.2303,0.2,
818,1595.203,0.2249,0.2,
819,1596.439,0.2285,0.2,
820,1597.675,0.2208,0.2,
821,1598.966,0.2257,0.2,
822,1600.236,0.2234,0.2,
823,1601.45,0.2283,0.2,
824,1602.73,0.2288,0.2,
825,1604.032,0.2267,0.2,
826,1605.224,0.2195,0.2,
827,1606.395,0.2197,0.2,
828,1607.555,0.2155,0.2,
829,1608.879,0.2237,0.2,
830,1610.082,0.2288,0.2,
831,1611.362,0.2238,0.2,
832,1612.588,0.2169,0.2,
833,1613.737,0.2131,0.2,
834,1614.863,0.2164,0.2,
835,1616.056,0.214,0.2,
836,1617.292,0.2278,0.2,
837,1618.474,0.2294,0.2,
838,1619.863,0.2273,0.2,
839,1621.045,0.2198,0.2,
840,1622.164,0.2074,0.2,
841,1623.31,0.2133,0.2,
842,1624.48,0.2145,0.2,
843,1625.717,0.2124,0.2,
844,1626.811,0.206,0.2,
845,1627.905,0.2064,0.2,
