depth,ecm2
756.25,1.5775
756.8,1.3268
757.35,1.6241
757.9,1.4624
758.45,1.4756
759.0,1.9406
759.55,1.5645
760.1,1.509
760.65,1.7704
761.2,2.022
761.75,2.9038
762.3,2.3195
762.85,1.501
763.4,1.5372
763.95,1.5762
764.5,1.7948
765.05,1.8882
765.6,1.3595
766.15,1.8243
766.7,1.4632
767.25,1.4629
767.8,1.5032
768.35,1.868
768.9,1.068
769.45,1.1653
770.0,1.1977
770.55,1.1808
771.1,1.3506
771.65,1.3561
772.2,1.6102
772.75,1.4026
773.3,1.4985
773.85,0.7556
774.4,1.6285
774.95,1.6466
775.5,1.5445
776.05,1.5928
776.6,1.9942
777.15,1.3373
777.7,1.0804
778.25,1.4043
778.8,1.567
779.35,1.6652
780.45,1.2672
781.0,1.8384
781.55,1.5432
782.1,1.4311
782.65,1.4462
783.2,1.1354
783.75,1.6427
784.3,2.2802
784.85,1.1193
785.4,1.656
785.95,1.6327
786.5,1.4781
787.05,1.2974
787.6,1.6753
788.15,2.7529
788.7,1.2406
789.25,1.3558
789.8,1.6575
790.35,1.4733
790.9,1.3718
791.45,1.143
792.0,1.2837
792.55,1.1507
793.1,1.2204
793.65,1.2807
794.2,1.4476
794.75,1.0068
795.3,1.278
795.85,1.378
796.4,1.4971
796.95,1.064
797.5,1.272
798.05,1.0477
798.6,0.863
799.15,0.7811
799.7,1.2829
800.25,1.5078
800.8,1.1624
801.35,0.9042
801.9,0.9911
802.45,3.761
803.0,1.264
803.55,1.474
804.1,1.5104
804.65,1.1085
805.2,1.2543
805.75,1.1599
806.3,1.3322
806.85,1.2386
807.4,1.2073
807.95,1.1753
808.5,1.1571
809.05,0.931
809.6,0.5491
810.15,0.7829
810.7,0.843
811.25,1.4626
811.8,1.3252
812.35,1.2277
812.9,1.6986
813.45,1.5091
814.0,1.6809
814.55,1.175
815.1,1.4714
815.65,1.8995
816.2,1.5731
816.75,1.0219
817.3,1.377
817.85,1.5419
818.4,1.1827
818.95,1.3599
819.5,1.2589
820.05,1.0132
820.6,1.294
821.15,1.1399
821.7,1.5177
822.25,1.8351
822.8,1.3692
823.35,1.4669
823.9,1.4713
824.45,1.2245
825.0,1.4781
825.55,1.3785
826.1,1.7648
826.65,1.4477
827.2,0.9737
827.75,1.35
828.3,1.6091
828.85,1.4005
829.4,1.3586
829.95,1.0139
830.5,1.2675
831.05,1.3257
831.6,1.1986
832.15,1.6098
832.7,1.6054
833.25,1.4444
833.8,1.4696
834.35,1.2306
834.9,1.6551
835.45,1.1863
836.0,1.4466
836.55,1.448
837.1,1.225
837.65,1.4336
838.2,1.2058
838.75,1.5657
839.3,1.5803
839.85,1.2373
840.4,1.5991
840.95,1.6525
841.5,1.4377
842.05,1.2896
842.6,1.1533
843.15,1.2735
843.7,1.4739
844.25,1.1479
844.8,0.9213
845.35,1.4223
845.9,1.2043
846.45,1.4298
847.0,1.4129
847.55,1.6674
848.1,1.3874
848.65,1.5008
849.2,1.3355
849.75,1.7432
850.3,0.8728
850.85,1.3884
851.4,1.4105
851.95,1.3164
852.5,1.3217
853.05,1.3573
853.6,0.7086
854.15,0.9912
854.7,0.9864
855.25,1.1754
855.8,1.1767
856.35,1.3198
856.9,1.403
857.45,1.6597
858.0,1.6388
858.55,1.0486
859.1,0.7063
859.65,0.8923
860.2,0.4288
860.75,0.6548
861.3,0.6368
861.85,0.7408
862.4,0.9747
862.95,0.8957
863.5,0.6125
864.05,1.5176
864.6,1.6158
865.15,1.5681
865.7,1.8341
866.25,1.5325
866.8,1.6579
867.35,1.4302
867.9,1.9295
868.45,1.2611
869.0,1.0396
869.55,2.0025
870.1,1.9041
870.65,1.5656
871.2,1.4367
871.75,1.2512
872.3,1.4047
872.85,1.2027
873.4,1.9273
873.95,1.5602
874.5,1.6824
875.05,1.5925
875.6,1.8234
876.15,1.9433
876.7,1.3082
877.25,1.5138
877.8,1.5214
878.35,1.3774
878.9,1.3637
879.45,1.7
880.0,1.5721
880.55,1.3607
881.1,2.0
881.65,1.3588
882.2,1.2087
882.75,1.4376
883.3,1.2117
883.85,1.428
884.4,1.2498
884.95,1.402
885.5,1.5862
886.05,1.0856
886.6,1.2656
887.15,1.5532
887.7,1.3002
888.25,1.3708
888.8,1.987
889.35,1.8612
889.9,1.5733
890.45,1.6304
891.0,1.4237
891.55,1.5623
892.1,1.6158
892.65,1.1759
893.2,1.9884
893.75,2.0843
894.3,1.8576
894.85,1.759
895.4,1.5332
895.95,1.4301
896.5,1.6123
897.05,1.1101
897.6,1.4585
898.15,1.4754
898.7,1.3288
899.25,2.4343
899.8,2.6768
900.35,1.6996
900.9,1.4348
901.45,1.2888
902.0,1.4818
902.55,0.8807
903.1,1.0906
903.65,1.3527
904.2,1.6875
904.75,1.2901
905.3,1.3638
905.85,1.304
906.4,1.4469
906.95,1.3134
907.5,1.3163
908.05,1.8977
908.6,1.7781
909.15,1.2307
909.7,1.6315
910.25,1.6155
910.8,1.7186
911.35,1.7563
911.9,1.8049
912.45,1.6379
913.0,1.4014
913.55,1.1288
914.1,1.2683
914.65,0.8932
915.2,1.1969
915.75,1.2736
916.3,1.6737
916.85,1.1561
917.4,1.2186
917.95,1.5787
918.5,1.0622
919.05,1.3752
919.6,1.4741
920.15,1.6623
920.7,2.1542
921.25,1.6531
921.8,1.5705
922.35,1.3862
922.9,1.5786
923.45,1.4231
924.0,1.6827
924.55,1.4333
925.1,1.2985
925.65,1.5624
926.2,1.9486
926.75,1.905
927.3,0.9352
927.85,1.2861
928.4,1.8127
928.95,1.3228
929.5,1.3203
930.05,1.4696
930.6,1.3784
931.15,2.2812
931.7,2.6955
932.25,1.4734
932.8,1.6026
933.35,1.9838
933.9,1.5715
934.45,1.6034
935.0,1.6404
935.55,1.7643
936.1,1.1385
936.65,1.5853
937.2,1.7373
937.75,2.0812
938.3,1.4516
938.85,1.2398
939.4,1.7942
939.95,1.2785
940.5,1.15
941.05,1.5295
941.6,1.5687
942.15,1.4483
942.7,1.6911
943.25,1.4913
943.8,1.7047
944.35,2.4256
944.9,1.753
945.45,1.9704
946.0,1.9958
946.55,2.2294
947.1,1.9072
947.65,2.3769
948.2,2.0703
948.75,2.3576
950.4,1.1565
950.95,1.3879
