depth	thinning	rel_unc	comment
1343.100000	0.537200	0.432087	
1344.750000	0.536900	0.432632	
1346.400000	0.536700	0.433177	
1348.050000	0.536600	0.433722	
1349.700000	0.536500	0.434267	
1351.350000	0.536600	0.434812	
1353.000000	0.536700	0.435357	
1354.650000	0.536600	0.435902	
1356.300000	0.536800	0.436446	
1357.950000	0.537200	0.436991	
1359.600000	0.538100	0.437536	
1361.250000	0.538700	0.438081	
1362.900000	0.538800	0.438626	
1364.550000	0.540200	0.439171	
1366.200000	0.539800	0.439716	
1367.850000	0.541300	0.440261	
1369.500000	0.541400	0.440806	
1371.150000	0.541400	0.441351	
1372.800000	0.541700	0.441896	
1374.450000	0.542000	0.442441	
1376.100000	0.542000	0.442985	
1377.750000	0.541900	0.443530	
1379.400000	0.542300	0.444075	
1381.050000	0.542600	0.444620	
1382.700000	0.542500	0.445165	
1384.350000	0.542400	0.445710	
1386.000000	0.541900	0.446255	
1387.650000	0.541300	0.446800	
1389.300000	0.540700	0.447345	
1390.950000	0.540900	0.447890	
1392.600000	0.540300	0.448435	
1394.250000	0.539200	0.448980	
1395.900000	0.539200	0.449524	
1397.550000	0.538200	0.450069	
1399.200000	0.537400	0.450614	
1400.850000	0.536600	0.451159	
1402.500000	0.535400	0.451704	
1404.150000	0.534300	0.452249	
1405.800000	0.533000	0.452794	
1407.450000	0.532500	0.453339	
