depth,sulfate
87.2291,93.9
87.2684,102.38
87.3077,93.75
87.347,105.41
87.3962,90.55
87.4355,87.41
87.4748,108.8
87.514,114.14
87.5533,110.64
87.5926,132.35
87.6319,134.53
87.6711,105.53
87.7104,98.25
87.7497,115.8
87.789,104.87
87.8282,102.71
87.8675,115.86
87.9068,101.02
87.946,97.46
87.9853,92.59
88.0224,70.63
88.0769,76.54
88.1314,97.19
88.1859,77.43
88.2404,108.83
88.2949,115.2
88.3494,118.45
88.4039,72.51
88.4584,92.08
88.5129,92.08
88.5974,81.6
88.6519,86.37
88.7064,114.38
88.7609,83.92
88.8154,102.96
88.8699,96.28
88.9354,119.53
88.9899,116.58
89.0444,155.11
89.1461,93.33
89.1838,77.49
89.2214,101.2
89.2591,63.35
89.2967,101.53
89.3344,100.14
89.3721,83.59
89.4097,94.42
89.4474,86.09
89.485,84.35
89.5227,66.59
89.5603,87.93
89.598,83.71
89.6356,67.82
89.6773,76.57
89.7149,81.57
89.7526,72.91
89.7903,102.17
89.8279,101.62
89.8656,102.9
89.9032,100.2
89.9409,103.2
89.9785,103.9
90.0162,102.99
90.0538,108.41
90.0915,97.31
90.1292,102.65
90.1668,94.54
90.222,99.44
90.274,147.12
90.326,147.89
90.378,106.83
90.442,91.56
90.494,105.74
90.553,75.31
90.605,53.36
90.657,70.69
90.709,90.43
90.761,111.85
90.813,109.31
90.865,88.14
90.917,106.29
90.969,107.38
91.021,75.09
91.073,105.26
91.125,57.55
91.177,75.28
91.229,92.93
91.281,75.18
91.334,81.14
91.3848,118.69
91.4356,126.67
91.4864,177.5
91.5372,140.58
91.588,121.54
91.6388,119.65
91.6896,101.99
91.7404,75.21
91.7912,88.17
91.842,75.28
91.8927,94.88
91.9435,92.81
91.9943,79.45
92.0451,81.66
92.0989,96.76
92.1497,92.81
92.2005,97.16
92.2513,96.61
92.3021,80.31
92.3529,108.53
92.453,70.38
92.501,81.57
92.549,102.17
92.597,88.26
92.645,83.07
92.693,126.1
92.741,93.87
92.789,113.36
92.837,90.43
92.885,90.67
92.933,76.63
92.987,72.23
93.035,103.75
93.083,38.98
93.131,48.85
93.179,84.75
93.227,86.34
93.275,85.48
93.323,101.93
93.371,61.64
93.419,98.71
93.479,74.01
93.5479,73.34
93.5939,73.09
93.6369,88.33
93.6799,77.7
93.7229,54.14
93.7659,75.52
93.8089,97.1
93.8519,64.27
93.8949,56.97
93.9379,54.48
94.2839,110.16
94.3269,112.87
94.3699,130.65
94.4559,123.64
94.4989,76.69
94.5419,96.49
94.5849,87.41
94.644,140.56
94.6895,103.33
94.7349,116.45
94.7804,117.14
94.8258,90.79
94.8713,90.46
94.9537,103.44
94.9992,115.89
95.0446,123.49
95.0901,95.7
95.1356,116.7
95.181,87.26
95.2315,105.65
95.2769,112.33
95.3224,100.44
